Longitude,Latitude
80410,"[(690126.2451999998, 9791469.8429), (690154.5983999996, 9791519.1759)]"
80411,"[(690956.8246999998, 9791519.9008), (690999.2096999995, 9791547.2689)]"
80412,"[(690808.1988000004, 9791600.0808), (690816.2845000001, 9791612.7962)]"
80413,"[(690913.6611000001, 9791619.244), (690931.4567, 9791641.9069)]"
80417,"[(689043.3213999998, 9789299.9929), (689057.9189999998, 9789314.9025)]"
80418,"[(688846.9452, 9789391.3913), (688968.8291999996, 9789496.1537)]"
80420,"[(689102.6105000004, 9789537.0735), (689276.2257000003, 9789701.0005)]"
80423,"[(688449.8870000001, 9789608.2702), (688462.8985000001, 9789625.2631)]"
80424,"[(688460.5335999997, 9789634.3545), (688522.4039000003, 9789706.9338)]"
80427,"[(688355.5154999997, 9789791.6503), (688376.7899000002, 9789820.4309)]"
80430,"[(689282.7642000001, 9789994.6691), (690077.6869000001, 9790561.7285)]"
80431,"[(688730.9225000003, 9790154.7942), (688736.0, 9790160.5312)]"
80434,"[(688812.6284999996, 9790308.4811), (688941.9654999999, 9790414.9429)]"
80436,"[(688273.6712999996, 9790517.0548), (688323.0701000001, 9790543.6677)]"
80438,"[(688915.9166000001, 9790525.5668), (688925.9736000001, 9790533.7784)]"
80439,"[(687947.2794000003, 9790562.9793), (688363.6821999997, 9790887.1901)]"
80443,"[(688326.1150000002, 9790927.9946), (688361.3488999996, 9791002.6495)]"
80444,"[(688592.7505999999, 9790972.6811), (689225.2644999996, 9791302.6395)]"
80447,"[(688274.5568000004, 9791119.0722), (688311.8197999997, 9791150.3414)]"
80448,"[(689148.1442, 9791291.3586), (689295.2729000002, 9791444.2255)]"
80449,"[(688765.3735999996, 9791301.5047), (689117.8414000003, 9791524.8583)]"
80502,"[(695552.1552999998, 9791400.9293), (697567.6968, 9793473.8176)]"
80503,"[(694620.4097999996, 9791425.5028), (694968.5702999998, 9791822.4631)]"
80504,"[(693745.3454, 9791736.8758), (693902.7176999999, 9792046.6975)]"
80505,"[(690480.7105999999, 9791693.6168), (691356.6161000002, 9792265.0571)]"
80506,"[(689992.0887000002, 9791725.0996), (690126.5486000003, 9791839.1868)]"
80507,"[(689742.5948000001, 9791730.069), (689874.5685, 9791850.563)]"
80508,"[(689313.1538000004, 9791652.5706), (689499.2583999997, 9791768.4402)]"
80509,"[(689047.1809, 9791506.0029), (689330.6941, 9791801.4207)]"
80770,"[(694266.9671, 9788161.0209), (694939.3787000002, 9788764.3514)]"
80772,"[(694036.3918000003, 9788517.1608), (694060.2233999996, 9788538.9553)]"
80773,"[(694608.6080999998, 9789265.6436), (694608.7846999997, 9789265.886)]"
80774,"[(694443.7279000003, 9789255.6873), (694536.0107000005, 9789336.6783)]"
80775,"[(694011.5508000003, 9789401.8748), (694143.3044999996, 9789637.2773)]"
80776,"[(693880.1443999996, 9790464.1129), (693982.8899999997, 9790655.5712)]"
80777,"[(694426.3985000001, 9790765.1136), (694709.0926999999, 9791085.1061)]"
80778,"[(693292.2021000003, 9788244.0023), (694190.9556999998, 9789176.574)]"
80780,"[(692558.7635000004, 9788652.9156), (692694.7828000002, 9788784.2525)]"
80781,"[(692490.3455999997, 9788808.2297), (692611.2426000005, 9788926.6289)]"
80782,"[(693412.1184, 9788840.2838), (693447.5403000005, 9788905.9968)]"
80783,"[(693420.0537, 9789011.7682), (693434.9683999997, 9789032.5734)]"
80784,"[(693225.5158000002, 9789281.0821), (693258.8172000004, 9789310.9964)]"
80785,"[(693382.2734000003, 9789305.4704), (693569.9867000002, 9789529.468)]"
80786,"[(691774.3015000001, 9790083.0174), (691989.0329999998, 9790278.6279)]"
80787,"[(692415.1316999998, 9790269.117), (692511.5383000001, 9790353.6737)]"
80788,"[(692362.9689999996, 9790335.3634), (692390.4203000003, 9790361.4859)]"
80789,"[(691549.4121000003, 9790377.5036), (693509.574, 9791056.0891)]"
80790,"[(693604.5322000002, 9790587.805), (693938.7208000002, 9791017.1981)]"
80791,"[(692862.4122000001, 9790985.0349), (692910.54, 9791024.1167)]"
80792,"[(692405.9970000004, 9791002.8422), (692442.7709999997, 9791026.7294)]"
80793,"[(691847.6810999997, 9791658.602), (691868.6672, 9791679.4743)]"
80797,"[(690133.1941, 9788259.8369), (690380.4216, 9788605.365)]"
80798,"[(689439.4793999996, 9788755.8618), (689591.7289000005, 9788990.0479)]"
80799,"[(689870.5345999999, 9788761.0324), (690136.3400999997, 9788893.0286)]"
80800,"[(690050.7626999998, 9789038.8359), (690103.4752000002, 9789085.0393)]"
80801,"[(689976.9534, 9789171.0923), (690064.6251999997, 9789253.5538)]"
80802,"[(690282.3603999997, 9789283.5547), (690322.4298, 9789330.5086)]"
80803,"[(689572.2449000003, 9789598.496), (689873.3949999996, 9789950.6091)]"
80804,"[(690221.3864000002, 9789806.5732), (690360.4029999999, 9789977.3699)]"
80805,"[(689831.4648000002, 9789827.7546), (690837.8799999999, 9790417.4334)]"
80806,"[(691299.9441, 9789922.2574), (691387.3173000002, 9790076.5649)]"
80807,"[(691285.0950999996, 9790092.8167), (691347.2050000001, 9790210.4307)]"
80808,"[(690884.0944999997, 9790229.5055), (691205.6682000002, 9790451.9323)]"
80809,"[(691276.9704, 9790388.031), (691347.6665000003, 9790502.0172)]"
80817,"[(688105.881, 9788609.4312), (688487.2432000004, 9788881.2942)]"
80818,"[(688559.2008999996, 9788844.3908), (688674.3274999997, 9788945.944)]"
80819,"[(688561.7988999998, 9788988.1868), (688575.1742000002, 9789000.8389)]"
80821,"[(688161.7202000003, 9789019.3428), (688931.8158, 9789348.6509)]"
80823,"[(689282.3169, 9789627.6953), (689531.6675000004, 9789869.1011)]"
80829,"[(693694.6217, 9790745.7831), (693834.2126000002, 9790895.5465)]"
80830,"[(691915.5411999999, 9790492.4731), (692768.6725000003, 9790867.7162)]"
80831,"[(692841.8650000002, 9790711.291), (693173.6519999998, 9790873.3068)]"
80832,"[(690510.7462999998, 9790143.0045), (690696.1684999997, 9790341.8227)]"
81675,"[(692692.3903999999, 9787618.9889), (693379.0399000002, 9789264.0007)]"
81675,"[(687658.5697, 9787619.9805), (687811.6429000003, 9787843.895456074)]"
81675,"[(687658.5697, 9787618.9889), (689462.9911000002, 9788957.69)]"
81675,"[(689436.2945999997, 9787618.9889), (690745.0, 9788657.4472)]"
81675,"[(690694.5517999995, 9787618.9889), (690882.2359999996, 9787717.1897)]"
81675,"[(690975.104676625, 9787618.9889), (691076.5968919276, 9787652.0161)]"
81675,"[(690855.7012, 9787618.9889), (693090.6129000001, 9789349.4329)]"
86938,"[(699553.8564999998, 9794457.972), (700387.8232, 9795172.9452)]"
86938,"[(699818.8925999999, 9795994.1096), (700022.403623548, 9796108.838)]"
86938,"[(699566.8925999999, 9796054.4606), (699806.64707123, 9796108.838)]"
86938,"[(699599.3539629685, 9796104.3701), (699643.9762379037, 9796108.838)]"
86938,"[(699694.090905575, 9796103.3932), (699719.6092010252, 9796108.838)]"
86938,"[(699226.6580063568, 9795988.9872), (699562.1964999996, 9796108.838)]"
86938,"[(698997.3616000004, 9795937.0026), (699200.8096623544, 9796108.838)]"
86938,"[(698958.8958713016, 9796103.9357), (698974.8707628343, 9796108.838)]"
86938,"[(690467.4471505322, 9795882.5904), (690676.6774000004, 9796108.838)]"
86938,"[(690177.5125648275, 9796021.4318), (690365.0658999998, 9796108.838)]"
86938,"[(690092.0827481026, 9796098.2364), (690137.4301129027, 9796108.838)]"
86938,"[(687658.5697, 9789527.30232748), (687670.0078999996, 9789568.011450257)]"
86938,"[(687658.5697, 9787618.9889), (697494.9911000002, 9792803.6106)]"
86938,"[(695814.8482999997, 9787618.9889), (696236.6332216972, 9788104.8578)]"
86938,"[(695391.1840730563, 9787618.9889), (695545.0606000004, 9787758.8754)]"
86938,"[(694810.1277999999, 9787618.9889), (695049.638223363, 9787687.7036)]"
26,"[(696062.5582999997, 9790851.5117), (696680.5506999996, 9790857.5374)]"
60,"[(690313.8262, 9789182.5918), (691333.1842, 9789193.2267)]"
1477,"[(694532.5621999996, 9791541.3348), (695674.4970000004, 9791553.2552)]"
2899,"[(693466.4291000003, 9788848.0015), (693467.6983000003, 9789159.6701)]"
3037,"[(694547.2794000003, 9792530.0033), (695686.3832, 9792539.1312)]"
3064,"[(696676.8250000002, 9790525.0519), (698001.1605000002, 9792004.0248)]"
3624,"[(697711.1874000002, 9788758.1672), (698826.5581, 9788804.35)]"
3642,"[(695001.5011, 9792819.8435), (695693.375, 9792901.9354)]"
3779,"[(690345.5466999998, 9790778.0982), (691360.2406000001, 9790793.6291)]"
4073,"[(698461.0162000004, 9791422.0929), (699736.0893999999, 9792639.6933)]"
4085,"[(694531.4823000003, 9791284.3496), (694583.9008999998, 9794577.1611)]"
4298,"[(694560.5378, 9793145.423), (695701.0122999996, 9793211.8756)]"
4607,"[(697958.9631000003, 9791912.709), (698124.7690000003, 9792080.7197)]"
5476,"[(691364.4674000004, 9790984.3648), (692514.1710000001, 9791022.0896)]"
5790,"[(696965.4062999999, 9793132.8634), (698926.4884000001, 9796108.838)]"
5962,"[(696601.0363999996, 9788119.0202), (696604.6842, 9788776.7265)]"
5973,"[(698673.8110999996, 9791925.1313), (698683.3565999996, 9792359.2554)]"
6404,"[(688378.7610999998, 9791998.168), (689032.5021000002, 9792852.189)]"
