Longitude,Latitude
693497.9914363824,9792157.679078717
693495.4909045226,9792541.607136432
693496.3745162471,9792405.94766087
698738.5742920996,9788802.140318446
698413.1173927821,9788780.34609107
698387.3408191814,9788951.744891927
699007.374914999,9789863.26365009
699034.6028468325,9789875.53116003
698267.0714045281,9790039.094934173
698255.2800292312,9789996.781611437
698236.4048030655,9789929.047906384
698286.8157337416,9790115.35677786
698013.1730235931,9790131.469775122
698219.9786515123,9790185.613498626
698257.1185149773,9790177.215863343
697841.3826855186,9788454.190844892
697829.1958112757,9788480.012534318
697779.5420245416,9788604.094484093
697732.0594201819,9788716.68161687
697745.6615824817,9788686.368098602
697297.251328305,9789544.353643876
697123.6774585039,9789827.013273373
697042.3319628938,9789830.171882257
696700.7990216442,9789843.43345224
696965.0548841289,9790159.793258708
697041.9503598679,9790159.050814038
697441.9116179469,9789538.007649459
697427.0560835422,9789396.022819204
697670.2073343395,9789805.130864624
697320.0788715131,9789603.469621826
697248.6858626412,9789747.578979539
697035.0608204954,9790185.469159715
697036.9349603504,9790181.720892213
697056.6655680313,9790135.567956708
697830.1559023997,9789828.56202101
697888.7647801393,9789794.419024628
697995.1150012513,9789541.93215382
697570.2924829961,9790317.151549336
697584.4589185294,9790286.496711655
697590.0803463149,9790274.332469225
697648.526706668,9790160.09025913
697736.5141818551,9790204.425990865
697541.1255087925,9790380.266145637
697546.9625079894,9790367.635426894
697418.3154678635,9790735.249813067
697274.723662235,9790824.349997774
697394.416338945,9790866.980938796
697464.2627192598,9790820.850248674
697285.4779035101,9791421.75305247
697226.2948104643,9791395.942549039
694904.031805197,9789146.94543311
694943.0348685151,9789146.145652402
695112.7887456841,9789142.664749512
694058.6059889412,9791522.552749531
694271.8167749062,9791531.001908088
695434.1982358948,9791550.746775037
695471.6226397848,9791551.137439955
694417.5681739133,9791536.777772916
694419.1543394628,9791536.840629794
691940.3367337525,9789835.201743152
691915.3017854707,9789806.397757007
691901.9954481836,9789785.922388047
691890.5466400215,9789744.199556982
691948.9576675358,9789764.799787257
691892.7583400126,9789767.271365676
692045.8430037209,9789920.25141777
692313.843365058,9789768.071144821
692339.7259732635,9789767.422664622
692470.6965092133,9790100.00494978
692485.8555380874,9789782.396296302
692487.705131843,9789862.390979024
692487.7931854741,9789866.199286802
692493.5063252805,9790113.448444368
692149.056413364,9789902.797124945
692178.4734605331,9789907.865782434
693583.5117014548,9791517.21505414
693630.6283037722,9791516.22435045
691427.6894378251,9789184.207243208
691469.7772689968,9789184.405576577
691497.1850844462,9789354.563532554
691481.7863610459,9789317.566858886
690827.8323250593,9790530.922783198
690838.3121102036,9790530.805483552
691107.4751573579,9790527.792756684
691140.6688393869,9790527.655963577
691183.0212654134,9791119.050359903
691355.33811811,9791202.371286953
691307.4845391209,9791128.243718117
691298.6224966994,9791119.961840337
690364.6834174257,9791562.137935996
690361.3139313465,9791435.870261533
689375.9589590863,9790186.18669586
689376.0936329418,9790139.538941052
689376.2469646473,9790086.42855989
689376.2647578075,9790080.265441151
689392.0029892756,9790196.505904162
689224.5722210177,9791153.073428031
688721.2937313094,9791162.746109596
688680.3951012952,9791163.63993176
688626.6527332481,9791164.814448355
689215.0100360548,9791432.65265484
689287.196527024,9791430.394711206
689073.481921689,9791437.079556612
688817.8076562219,9791442.446825132
695565.3136416373,9791552.115459206
695672.7273279952,9791403.67370097
695674.8943504073,9791586.847126577
695933.8551871143,9791471.086909948
694682.7874899477,9791542.902967619
694909.4228794706,9791545.26876337
693901.9523449877,9791924.776795328
693771.0122004601,9791923.012365563
690757.0172273385,9791698.14737484
690719.7007420051,9791698.688684288
691036.8972043903,9791950.017899444
691014.8027101395,9791950.626359008
690984.9543742314,9791951.448351366
689318.5180271986,9791712.78549764
689387.9474108119,9791678.07916681
689470.1720942761,9791711.462566387
689388.8881906464,9791749.087270383
689049.8541821942,9791712.358796902
689167.0312780117,9791712.544901412
694498.7681362993,9788737.50634531
694478.4924765743,9789336.14205138
694535.9024646713,9789297.806204338
694523.1019742402,9789266.28016429
694063.1359725363,9789429.209164422
694135.2081700839,9789421.912340196
694704.6479254665,9791033.534411093
694587.9535162783,9790824.88887852
694132.3715248846,9788853.886254765
693913.3257422381,9788847.55004881
694107.0568760836,9789161.372363862
694148.2842457416,9789160.680150706
692497.0110868597,9788856.757144684
692610.9489877459,9788857.42334409
693418.221019476,9788848.051632704
693438.1065808847,9788848.031484671
693503.7515697444,9789463.22341897
693520.7820662179,9789463.062176699
693465.4889682045,9789390.520889444
693465.6541573218,9789349.958546195
693465.7643429951,9789322.902350463
693465.2698044654,9789444.336751843
692498.6477569421,9790335.867975721
692497.3747026116,9790280.795348823
693125.4327919558,9790669.88975579
693294.080918884,9790987.183372242
692503.6538105146,9790552.431019396
692511.3649460505,9790886.016538944
692409.246592348,9791009.45026722
692442.4808844602,9791008.803104993
690157.2472481821,9788555.464758623
690306.3458355715,9788267.68982783
690347.2365990082,9788552.65282269
690316.552101387,9788582.091175985
689441.4409672224,9788867.998274475
689581.2525713074,9788867.403909538
689938.6837697607,9788865.884403538
690109.6318572022,9788865.157671666
689981.3711542065,9789196.8061983
690057.8353846449,9789195.982918302
690342.4318858396,9789933.74981077
690342.430578475,9789933.392135296
690342.2358186482,9789880.108748421
690342.0797127625,9789837.400503874
690222.0354850064,9789833.13182796
690329.0525384325,9789830.71359652
690342.8770801631,9790055.547676807
690343.4073517789,9790200.690210095
690654.9124227787,9790055.212382043
690402.4697375383,9790056.52807051
691373.6414588622,9790035.166514076
691331.0546889126,9790036.263510263
691347.3915318449,9790018.320052449
691346.1486564601,9790074.559842777
691345.8889193838,9790158.17982152
691344.9909479821,9790126.944586126
691346.2708565746,9790423.05211188
691345.5118858543,9790408.631847477
689377.2188969592,9789749.77479748
689376.8745298686,9789869.055199381
692509.564652794,9790808.135433301
692505.805910585,9790645.531369757
693305.8383394093,9788849.039296618
693245.0672080354,9789165.776823781
691333.1842,9789183.7619
691333.1842,9789183.7619
690313.8262,9789193.2267
690313.8262,9789193.2267
695674.4969981805,9791553.255199658
694532.5621999996,9791541.3348
693467.6983000003,9788848.0015
693467.6983000003,9788848.0015
693467.6982987509,9788848.001502369
693466.4291000003,9789159.6701
693466.4291000003,9789159.6701
694547.2794000003,9792539.1312
696852.0565,9790525.0519
696852.0565,9790525.0519
697711.1874000002,9788758.1672
697711.1874000002,9788758.1672
691360.2406000001,9790778.6585
691360.2406000001,9790778.6585
694533.6721000001,9791284.3496
694533.6721000001,9791284.3496
695701.0122987095,9793145.423001055
694560.5378,9793163.8565
691364.4674000004,9791022.0896
691364.4674000004,9791022.0896
698926.4883978097,9793213.583196852
