OBJECTID,ELEVASI,INTERVAL,SUMBER,Shape_Leng,OBJECTID_2,ELEVASI_2,INTERVAL_2,SUMBER_2,Shape_Leng_2
79459,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",1092.78059351000,4298,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1189.49406522000
79459,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",1092.78059351000,4298,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1189.49406522000
79460,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",917.98487707700,4085,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",3293.32381021000
79460,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",917.98487707700,4085,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",3293.32381021000
79460,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",917.98487707700,4298,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1189.49406522000
79460,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",917.98487707700,4298,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1189.49406522000
79464,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",125.12229474600,8406,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1041.43841002000
79464,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",125.12229474600,8406,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1041.43841002000
79486,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",178.33598830800,44356,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1151.38516979000
79486,20.00000000000,20 m,"Hasil Pengolahan DEMNAS BIG 32 Bit Signed, Kegiatan Revisi RTRW Kab.Kotawaringin Timur Tahun 2023",178.33598830800,44356,0.00000000000,,"Interpretasi Citra SPOT 6/7 tahun 2018-2020, Ditjen Bina Marga 2017, dan RBI KSP 2018",1151.38516979000
